pk_business_id,License Number,Federal Registry No,Local Registry No,Business Name,Legal Type,pk_stakeholder_ids,Stakeholder Rates,Stakeholder Types,Activity Names,Activity Names Serial #,Unit Including,Unit,Landlord,Street,Zone,Fax,Telephone,Mobile,P.O. Box,Expiry Date,Renewal Date,Est. Date,Receipt Date,Receipt No.,Remarks
2878,6117402961,47-995-0884,01-547-8445,Considine-Roob,Marketing,Glass Inc.,0.6,Sponsor,Car Manufacturing,1,5746222860,25,6457763510,Michigan,,761-553-0435,777-129-7824,393-463-7540,2,9/12/2018,17/09/2018,17/11/2018,31/07/2018,1975126564,
2879,5133658567,69-282-9842,19-206-9065,"Ankunding, Schuppe and Hills",Research and Development,Souk al Waha,0.8,Signatory,Car Manufacturing,2,1867927055,32,5401560877,Jackson,,653-388-1523,508-174-9656,345-280-2385,868,10/6/2018,9/7/2018,4/8/2018,14/09/2018,1401086314,
2880,9984919692,39-521-8953,61-029-8208,Kshlerin and Sons,Sales,Souk al Waha,0.7,Project Manager,Food Delivery,3,9221181855,7,7216292413,Chinook,,258-955-4331,811-355-4383,482-321-8769,9,5/5/2018,16/01/2019,23/07/2018,25/06/2018,1562287672,
2881,7596564925,89-374-8314,41-015-8274,"Roberts, Parisian and Collins",Legal,Steak Holder,0.6,Sponsor,Fashion Designing,4,843519819,4,2015553479,Hayes,,731-742-3758,913-727-4190,439-503-4471,41781,20/04/2018,9/2/2019,8/12/2018,14/11/2018,8469727419,
2882,2216457086,40-748-7732,95-061-5999,"Lemke, Hansen and Kuphal",Human Resources,Glass Inc.,0.9,Sponsor,Food Provider,5,8376309544,30,8798472313,Riverside,,367-169-1545,849-420-5988,914-652-2686,2865,25/05/2018,27/08/2018,27/11/2018,19/03/2018,3146533146,
2883,1493129759,29-805-6622,16-197-5143,"Nienow, Walter and O'Keefe",Accounting,Souk al Waha,0.6,Partner & Responsible Manager,IT Services,1,8115423688,10,8286808398,Doe Crossing,,951-475-0945,382-446-4501,114-796-6917,5,10/9/2018,23/06/2018,16/06/2018,29/08/2018,387502661,
2884,5820854403,07-779-3973,35-343-9187,Hilpert Group,Training,Glass Inc.,0,Signatory,IT Services,2,5242136871,3,3331405159,Banding,,966-494-2693,990-768-8778,270-331-2942,85,16/12/2018,10/8/2018,2/11/2018,13/11/2018,3574990871,
2885,844857408,54-449-1906,75-857-8766,Goldner Inc,Research and Development,Steak Holder,0.5,Partner & Responsible Manager,IT Services,3,7982820778,5,1554007704,Sutherland,,759-334-5867,333-757-6491,583-862-3363,18649,7/8/2018,8/8/2018,17/02/2018,25/07/2018,3733670876,
2886,2737455464,32-326-7375,61-152-1823,Bradtke-Sauer,Marketing,Glass Inc.,0.8,Partner & Responsible Manager,Car Manufacturing,4,272987360,29,4585015817,Londonderry,,397-181-1371,383-610-2753,466-496-3932,7952,9/2/2019,28/08/2018,8/1/2019,1/3/2018,7763958480,
2887,1262274931,98-636-8158,98-770-4299,"Wisozk, Gorczany and Koch",Support,Souk al Waha,0.7,Sponsor,Fashion Designing,5,7593603547,12,2909742261,Farragut,,577-133-3142,186-395-9330,341-173-4657,614,16/10/2018,21/05/2018,7/10/2018,18/08/2018,2174426188,
2888,2560488663,07-790-5893,03-103-6694,"Reichel, Roberts and Balistreri",Training,Souk al Waha,0.5,Sponsor,Car Manufacturing,1,4792782139,23,2484502729,Orin,,764-731-2256,850-570-8561,684-941-3213,84,26/08/2018,13/08/2018,4/5/2018,23/06/2018,276157575,
2889,6481592771,45-447-4688,90-842-5266,Kutch-Hermiston,Human Resources,Steak Holder,0.8,Partner & Responsible Manager,Food Delivery,2,8582037597,7,4791638352,Anzinger,,721-673-0466,770-652-7790,913-723-2858,805,30/07/2018,18/10/2018,30/05/2018,22/05/2018,9309528214,
2890,4951312131,02-668-0375,70-191-1869,Wilderman and Sons,Sales,Souk al Waha,0.7,Sponsor,Fashion Designing,3,7050233730,3,2684935327,Algoma,,621-336-8899,611-325-9649,867-153-6623,663,15/02/2018,22/10/2018,4/1/2019,4/1/2019,9687262125,
2891,3787783504,07-738-5773,10-685-7707,"Rice, Kuhic and Considine",Legal,Glass Inc.,0.5,Project Manager,Fashion Designing,4,7702796618,23,7737941193,Mifflin,,393-200-2030,642-332-5711,121-382-9690,239,28/09/2018,22/09/2018,25/09/2018,14/08/2018,1006796908,
2892,270501223,52-466-8467,83-694-3611,"Brekke, Steuber and Herzog",Research and Development,Glass Inc.,0.3,Signatory,Car Manufacturing,5,916827976,31,5586460025,Fairfield,,757-160-7495,529-336-6613,318-379-1693,9,27/10/2018,21/04/2018,3/12/2018,16/07/2018,7052488698,
2893,9793896388,11-985-5795,11-645-2795,"Lemke, Kunde and Monahan",Legal,Souk al Waha,0.7,Sponsor,Food Provider,1,9123426616,5,8847187702,Golf Course,,191-295-2914,801-534-0388,782-237-3316,642,31/12/2018,12/5/2018,13/05/2018,25/02/2018,1947814893,
2894,125352468,95-678-6928,11-283-9302,Legros-Rogahn,Services,Steak Holder,0.2,Signatory,Food Provider,2,3888805384,7,8761173614,Kennedy,,201-442-7798,230-772-8023,115-693-6693,104,20/08/2018,6/8/2018,12/11/2018,27/09/2018,4348826420,
2895,4504678837,50-920-3151,26-009-2126,"Pollich, Quigley and Olson",Training,Orange Company,0.3,Signatory,Food Delivery,3,958110743,13,6530813586,Maywood,,190-489-8626,979-153-1481,615-982-1558,243,16/11/2018,20/06/2018,1/1/2019,5/8/2018,686132688,
2896,1087496292,61-014-6261,94-049-6039,"Lebsack, Cruickshank and Macejkovic",Sales,Glass Inc.,0.1,Sponsor,Food Provider,4,2404514938,32,6281657276,Sherman,,887-470-9065,522-352-0039,828-714-1901,8947,2/12/2018,18/01/2019,21/12/2018,18/11/2018,8858759869,
2897,6692594308,39-223-0398,76-997-7537,Reynolds-Feil,Engineering,Steak Holder,0,Project Manager,Food Delivery,5,7714150238,29,2433312566,Stephen,,200-821-2729,714-390-2268,879-711-5001,95306,29/05/2018,8/6/2018,29/06/2018,20/12/2018,7492974264,
2898,1025320328,12-461-0890,10-836-8882,Macejkovic Inc,Sales,Orange Company,0.8,Project Manager,IT Services,1,1630960217,13,7755730069,Basil,,358-637-7738,414-247-4568,416-587-7206,40,1/5/2018,10/12/2018,1/6/2018,21/01/2019,8514876236,
2899,6586606225,12-050-7306,03-547-0517,Hegmann-Jakubowski,Business Development,Orange Company,0.3,Partner & Responsible Manager,Food Delivery,2,68610408,6,6354141320,Scofield,,493-460-1049,221-276-4805,187-328-4272,9681,24/02/2018,6/6/2018,7/8/2018,12/7/2018,9735682532,
2900,8612388163,04-179-1535,55-943-1838,Kuhn-Senger,Marketing,Steak Holder,0.4,Sponsor,Car Manufacturing,3,8810423461,2,1639022120,Hansons,,816-228-4381,284-931-4348,700-328-6504,93,27/06/2018,21/06/2018,6/5/2018,27/06/2018,1705980236,
2901,5404324376,62-716-3190,24-232-0469,Kuhic-Brekke,Business Development,Souk al Waha,0.1,Project Manager,IT Services,4,5072734080,9,9996496023,Mandrake,,866-991-2862,661-148-1721,210-500-6746,1,15/12/2018,5/4/2018,23/01/2019,9/11/2018,5702039440,
2902,4945323925,96-958-4338,37-190-6381,Jacobs-Johnson,Marketing,Orange Company,0.9,Project Manager,Fashion Designing,5,9688899178,30,9792916725,Golf View,,661-770-6518,378-781-9212,739-592-6093,465,14/06/2018,27/11/2018,26/10/2018,11/12/2018,9959793516,
2903,3266621735,23-388-0024,47-743-2231,Gusikowski-Armstrong,Engineering,Souk al Waha,1,Project Manager,Food Provider,1,9807911869,28,3430087708,Holy Cross,,299-726-1134,818-530-9862,345-460-2449,73,27/05/2018,26/04/2018,12/6/2018,2/6/2018,5346693769,
2904,7146797643,16-286-6958,27-688-4232,Waters Group,Services,Glass Inc.,0.4,Project Manager,Car Manufacturing,2,6100886235,28,8564979179,Bayside,,301-770-6988,966-703-3261,198-479-6742,17487,12/8/2018,12/2/2019,17/12/2018,2/8/2018,1194153747,
2905,6649728330,82-595-2418,66-545-9404,Hahn Group,Sales,Steak Holder,0.7,Partner & Responsible Manager,Food Provider,3,9624749841,21,3711998275,Logan,,275-902-4164,457-713-6337,938-899-0812,3,13/03/2018,17/01/2019,26/05/2018,15/06/2018,382031172,
2906,7315829970,10-426-5083,52-776-2788,Goodwin Group,Engineering,Orange Company,0.9,Partner & Responsible Manager,Fashion Designing,4,2778917659,28,3406961681,Little Fleur,,904-700-0708,700-282-5399,303-826-1527,8,10/2/2019,26/02/2018,14/07/2018,18/08/2018,5246296695,
2907,8577126439,42-063-0514,59-776-8268,Heaney-Ullrich,Product Management,Orange Company,0.4,Signatory,Fashion Designing,5,9596372882,2,6670229453,Gateway,,977-231-5874,601-153-2445,530-587-5230,30,23/09/2018,21/10/2018,14/03/2018,15/11/2018,3415843238,
2908,2342450591,80-416-9353,58-504-0466,"Bosco, Boyle and Auer",Business Development,Orange Company,0.9,Sponsor,Food Provider,1,6789973923,8,9137700197,Caliangt,,138-633-9575,582-544-6841,591-384-7003,575,16/12/2018,15/12/2018,19/06/2018,22/01/2019,2996094549,
2909,8747853271,81-578-8708,91-249-2861,Blick-Satterfield,Marketing,Glass Inc.,0.5,Project Manager,Food Delivery,2,7663391578,1,6256488334,La Follette,,128-538-5639,835-403-9482,416-763-7044,92,14/07/2018,23/01/2019,9/12/2018,19/03/2018,2256948536,
2910,6801515268,85-817-4719,43-763-4689,Turner-Pfannerstill,Business Development,Souk al Waha,0.3,Partner & Responsible Manager,IT Services,3,5427384510,16,9025231519,Londonderry,,213-225-5296,513-324-3546,192-190-2232,1231,5/8/2018,6/11/2018,29/10/2018,29/03/2018,6857229325,
2911,3130223479,60-991-5170,56-529-9657,Hansen LLC,Product Management,Souk al Waha,0.4,Signatory,Food Delivery,4,5508784462,32,2971501485,Roxbury,,377-222-3414,925-219-6598,944-655-6953,7,12/8/2018,3/5/2018,8/5/2018,21/02/2018,939899892,
2912,6742364920,14-735-6177,32-081-2759,Conn-Sawayn,Services,Steak Holder,0.8,Sponsor,Food Provider,5,784509034,29,6850819194,Green Ridge,,226-766-4039,173-627-8349,491-633-4806,86,25/09/2018,15/09/2018,16/11/2018,11/1/2019,8387907162,
2913,2221874358,53-710-4249,23-765-9941,"Pacocha, Cummings and Stanton",Marketing,Steak Holder,0.5,Partner & Responsible Manager,Car Manufacturing,1,3527335005,11,5230017368,Moulton,,991-411-7891,584-222-9225,775-776-8118,19016,14/08/2018,1/12/2018,7/4/2018,21/03/2018,434439215,
2914,6501451973,63-992-4069,94-723-5399,Shanahan-Ankunding,Training,Glass Inc.,0.9,Sponsor,Food Provider,2,9939839960,14,2338397959,Fremont,,406-111-5722,298-190-7494,981-393-2100,2,3/7/2018,12/4/2018,17/08/2018,24/09/2018,4507020514,
2915,6135336738,22-949-3027,45-681-2636,Orn-Bergstrom,Accounting,Souk al Waha,0.2,Partner & Responsible Manager,Food Provider,3,6957582566,4,8067142009,Knutson,,383-815-3591,200-784-7612,474-203-4682,27998,23/08/2018,10/2/2019,13/02/2019,9/8/2018,1081006315,
2916,7717243652,28-893-1916,25-634-6085,"Baumbach, Smitham and Corkery",Human Resources,Glass Inc.,0.6,Sponsor,Fashion Designing,4,2952123136,20,8355553802,Reinke,,702-208-2850,103-116-6463,281-562-0005,81,21/01/2019,7/12/2018,30/04/2018,17/05/2018,6651376160,
2917,8719410727,82-127-5234,60-318-2406,"Larson, Schaden and Rath",Accounting,Glass Inc.,0.7,Signatory,Food Provider,5,2761217543,11,5012443047,Loeprich,,276-794-7829,492-123-7909,559-554-4652,97,15/08/2018,13/02/2019,22/01/2019,2/9/2018,8799238160,
2918,7370797139,63-623-3222,04-268-5494,Dickens-Fay,Product Management,Orange Company,0.2,Signatory,Car Manufacturing,1,5333809879,4,8079105650,Porter,,695-323-8495,360-636-6148,585-220-6460,807,8/2/2019,8/7/2018,16/07/2018,23/04/2018,684892758,
2919,3696338443,90-409-4635,39-154-7559,Klocko-Kshlerin,Research and Development,Steak Holder,0.8,Signatory,IT Services,2,8114804726,10,8431764031,Ridgeview,,599-227-6226,658-413-0180,181-932-2262,1,10/7/2018,25/05/2018,3/3/2018,1/7/2018,2961183936,
2920,6157888431,85-395-0301,88-691-1831,Keebler-Schowalter,Business Development,Glass Inc.,0.4,Project Manager,Car Manufacturing,3,9163826631,8,744465443,Karstens,,702-446-9547,224-118-7596,977-218-7545,1248,6/4/2018,29/03/2018,29/08/2018,7/8/2018,8418329653,
2921,6946114248,11-519-9922,69-633-2400,Wisozk-O'Kon,Services,Souk al Waha,0.4,Partner & Responsible Manager,IT Services,4,7580339463,11,2505886946,Commercial,,743-868-3146,135-926-5470,956-929-6938,6369,13/09/2018,2/11/2018,15/02/2018,14/07/2018,866173722,
2922,4166106007,87-839-3799,87-122-1389,Leffler Inc,Sales,Orange Company,0.5,Partner & Responsible Manager,Food Provider,5,4461984060,32,6212878927,Lunder,,142-991-3143,752-808-8170,480-595-2953,4549,18/02/2018,11/6/2018,3/11/2018,10/11/2018,1378697510,
2923,3978193515,99-332-8061,18-990-9576,Fritsch-Crooks,Legal,Glass Inc.,0.9,Sponsor,Car Manufacturing,1,1869317858,25,5469491439,Hovde,,873-998-9165,522-425-6022,249-761-3164,4,21/06/2018,9/2/2019,22/07/2018,20/10/2018,1232549169,
2924,5014218687,61-042-1014,22-995-2275,"Murray, Friesen and Cremin",Product Management,Orange Company,0.9,Partner & Responsible Manager,Food Provider,2,404404685,18,1636049710,Derek,,273-392-5502,198-180-4941,346-809-2954,8298,8/6/2018,27/03/2018,24/01/2019,22/11/2018,9888968971,
2925,3879494525,25-908-6950,55-826-2839,Ondricka-Mitchell,Business Development,Glass Inc.,0,Project Manager,IT Services,3,4141866989,13,9122634991,John Wall,,721-421-3184,657-809-9161,142-120-7307,6,21/05/2018,25/06/2018,28/03/2018,2/2/2019,6446459939,
2926,7747187688,94-702-2922,56-546-4613,"Rolfson, Dooley and Hammes",Research and Development,Steak Holder,0.9,Project Manager,IT Services,4,9046430057,24,7438160858,Summer Ridge,,727-484-4430,254-412-2395,833-736-6595,73747,5/3/2018,8/10/2018,4/5/2018,12/7/2018,1398566888,
2927,6801773291,73-907-5792,23-623-4881,Dibbert-Turner,Legal,Orange Company,0.1,Partner & Responsible Manager,IT Services,5,1680850296,20,5393524412,Killdeer,,857-847-3253,603-282-4818,778-229-8301,200,16/03/2018,7/6/2018,1/3/2018,29/03/2018,7765830953,
2928,992217547,69-172-9534,99-873-2710,"Krajcik, Stanton and McKenzie",Training,Orange Company,0.6,Signatory,Fashion Designing,1,2264664258,7,4970410534,Riverside,,458-347-4938,429-304-0898,725-348-4562,535,7/1/2019,1/12/2018,22/08/2018,18/06/2018,8734737642,
2929,9384856673,49-702-4720,18-472-2716,Rath-Hettinger,Research and Development,Orange Company,0.6,Project Manager,Food Provider,2,9541619339,22,8227203558,Prairie Rose,,280-775-4994,165-818-4572,620-700-3145,3985,4/2/2019,5/6/2018,29/03/2018,13/05/2018,1392029791,
2930,7191533021,86-154-6136,23-350-8697,"Hoppe, Steuber and Johnson",Support,Orange Company,0.4,Signatory,Fashion Designing,3,2912528364,2,5273974801,Maywood,,489-703-0125,655-734-3653,414-527-4672,0,7/7/2018,21/08/2018,2/2/2019,18/05/2018,1879836270,
2931,1553263464,37-622-3268,49-214-6383,Gulgowski Inc,Accounting,Glass Inc.,0.2,Partner & Responsible Manager,Food Delivery,4,7382216292,11,4143465205,Homewood,,444-178-4466,751-985-3298,559-465-1400,256,20/05/2018,17/09/2018,17/02/2018,18/05/2018,3695452366,
2932,2774892627,02-507-8878,53-092-2380,Lakin-Lockman,Accounting,Glass Inc.,0.6,Project Manager,Food Delivery,5,3390231005,10,2000155421,Valley Edge,,365-129-3702,825-210-3977,957-258-4271,82216,18/12/2018,28/09/2018,28/07/2018,1/11/2018,4693599980,
2933,3953026283,01-289-0915,14-427-4620,Rowe Inc,Human Resources,Souk al Waha,0.5,Signatory,Fashion Designing,1,5346075615,24,4204258107,Lawn,,891-369-9758,427-644-9068,196-793-6705,315,14/06/2018,22/02/2018,21/04/2018,29/11/2018,9710647725,
2934,6513041929,96-578-7543,75-255-8849,Corwin and Sons,Sales,Steak Holder,0.5,Project Manager,Food Delivery,2,7300935303,13,7823998025,Vernon,,396-122-8948,692-101-2552,681-632-7264,1,1/4/2018,22/10/2018,1/12/2018,16/07/2018,4438308208,
2935,401866726,93-806-7829,18-141-7352,"Glover, Kreiger and Herman",Training,Souk al Waha,1,Sponsor,Fashion Designing,3,4007066256,11,7694268727,Vermont,,964-839-5095,888-967-2121,990-556-7723,8559,12/11/2018,21/07/2018,16/08/2018,23/02/2018,2433156688,
2936,7796408765,66-295-5866,59-832-0145,"McClure, Hills and Parisian",Legal,Steak Holder,0.3,Signatory,IT Services,4,6279700178,32,7694101229,Miller,,665-100-8901,220-170-6497,835-377-7956,51793,25/12/2018,7/3/2018,13/11/2018,12/8/2018,7713739564,
2937,7538948902,07-275-7721,29-288-9710,Stanton LLC,Support,Souk al Waha,0.6,Partner & Responsible Manager,Food Provider,5,7734406130,19,1530295890,Eagan,,644-635-6171,373-295-3991,965-109-8892,5,6/9/2018,28/05/2018,29/03/2018,15/11/2018,6853057228,
2938,4193533174,38-971-3469,05-492-9275,"Hermann, Zulauf and Doyle",Accounting,Souk al Waha,0.3,Project Manager,Food Provider,1,7769277299,8,703137484,Autumn Leaf,,967-639-4351,453-189-0362,297-972-7566,209,18/12/2018,4/5/2018,9/3/2018,6/7/2018,8369811981,
2939,6780753653,46-915-7983,94-199-7056,"Kessler, Lang and Predovic",Business Development,Souk al Waha,0.5,Signatory,Car Manufacturing,2,3197833562,23,6894945195,Prentice,,681-320-0588,245-536-9405,936-970-9341,45922,13/11/2018,5/10/2018,8/8/2018,26/01/2019,9683864023,
2940,4958526455,61-509-8482,04-805-4545,Borer-Turcotte,Legal,Glass Inc.,0.4,Project Manager,Food Provider,3,6471616481,7,5124054204,Lyons,,985-181-9764,404-570-6105,282-180-2424,1140,16/05/2018,25/07/2018,10/7/2018,31/07/2018,2555099409,
2941,1242106642,26-612-3014,11-547-9821,Kuphal LLC,Accounting,Souk al Waha,0.2,Project Manager,Car Manufacturing,4,8839551352,20,1727667247,Marcy,,179-687-3120,701-183-3620,385-427-9713,157,31/10/2018,19/06/2018,20/10/2018,26/07/2018,7146835898,
2942,6123309218,70-452-4851,69-228-9814,"Miller, O'Connell and Bednar",Support,Souk al Waha,0.9,Project Manager,IT Services,5,295242426,12,7660578308,Blackbird,,526-383-8658,301-433-3983,470-673-5285,1075,26/11/2018,29/11/2018,11/8/2018,14/11/2018,4200041162,
2943,6907088789,98-828-8936,07-172-2153,Considine Inc,Support,Steak Holder,0.1,Signatory,Car Manufacturing,1,6629037855,14,4097514539,Macpherson,,289-868-6634,569-283-5426,514-901-0681,4857,25/09/2018,24/12/2018,11/4/2018,5/12/2018,6023046665,
2944,2256741737,86-817-9918,91-259-6425,Blick LLC,Product Management,Glass Inc.,0.2,Signatory,Fashion Designing,2,7617076126,1,6843107435,Schurz,,310-612-1737,635-376-3173,698-467-4787,3196,9/11/2018,25/07/2018,4/6/2018,5/6/2018,8052442974,
2945,3277045609,48-367-8096,37-836-7398,"Mante, Dietrich and Mayert",Marketing,Orange Company,0.6,Signatory,IT Services,3,4944238592,15,4682535021,Maple,,175-933-7468,913-603-1029,413-674-5747,3,12/4/2018,22/03/2018,17/11/2018,21/10/2018,1198795891,
2946,5464015957,35-239-5794,75-428-2895,Larkin-Rowe,Services,Steak Holder,1,Partner & Responsible Manager,Food Provider,4,8336970681,11,7401742500,Lunder,,392-896-8756,878-321-0705,947-125-1251,3354,16/06/2018,7/3/2018,9/4/2018,21/09/2018,410625191,
2947,2206247674,31-325-7377,08-506-5827,"Bednar, Barrows and Boehm",Accounting,Glass Inc.,0,Project Manager,Food Provider,5,6851966298,22,2630888428,Kennedy,,499-904-0866,935-331-4519,814-314-0165,4316,4/9/2018,13/09/2018,14/10/2018,19/10/2018,9406371758,
2948,8183264239,55-362-8877,79-177-3437,Stiedemann-Jast,Human Resources,Glass Inc.,0.7,Sponsor,Food Delivery,1,1155314581,18,4371730396,Ludington,,160-821-5918,101-432-2723,968-334-8068,56,7/11/2018,30/10/2018,10/10/2018,14/02/2018,5149699381,
2949,6422724438,15-467-3908,83-368-6566,"Purdy, Armstrong and Prohaska",Research and Development,Orange Company,1,Project Manager,IT Services,2,7033909411,14,6683815518,Hooker,,363-203-6600,167-944-2652,904-794-4799,47,26/02/2018,10/10/2018,23/10/2018,15/04/2018,5762446093,
2950,7913522569,57-327-1308,87-324-8960,"Stark, Kutch and Fay",Training,Steak Holder,0.8,Project Manager,Food Provider,3,9931979410,3,4670173529,Bluejay,,541-205-5746,364-422-2074,730-812-9382,8047,14/05/2018,30/03/2018,1/5/2018,19/12/2018,2768560758,
2951,2261976321,58-026-5493,50-351-0161,Jakubowski-Ortiz,Accounting,Steak Holder,0.9,Signatory,Fashion Designing,4,3310728447,16,203298519,Lighthouse Bay,,382-935-2672,483-712-3973,297-321-7212,7,17/05/2018,27/07/2018,22/09/2018,14/12/2018,4092993250,
2952,7332486512,08-622-6239,46-227-7520,"Vandervort, Batz and Walter",Engineering,Glass Inc.,0.8,Partner & Responsible Manager,Car Manufacturing,5,1601269110,2,9564879779,Springs,,106-108-5620,915-795-8827,101-267-5960,6144,18/12/2018,3/10/2018,14/10/2018,14/05/2018,9742731888,
2953,8208592463,22-545-3357,52-842-8790,"Wiza, Wiza and Macejkovic",Research and Development,Souk al Waha,0.5,Partner & Responsible Manager,Food Delivery,1,7250339893,4,8913622793,Debra,,762-890-2247,891-618-4361,330-334-1817,9,21/03/2018,11/4/2018,19/12/2018,12/11/2018,8813659326,
2954,3739111224,40-177-5086,57-771-1981,"Moen, Sawayn and Reichel",Research and Development,Orange Company,0.1,Project Manager,Car Manufacturing,2,6280010791,11,5807846265,Vermont,,951-701-3710,197-180-4002,958-328-7450,3616,24/04/2018,6/4/2018,5/3/2018,2/10/2018,3657505768,
2955,4899257422,14-654-0267,84-989-0166,Bergnaum-Hickle,Business Development,Steak Holder,0.8,Project Manager,Fashion Designing,3,1501439227,23,3932598547,Pankratz,,346-562-2567,122-670-9024,561-454-5784,537,3/12/2018,11/7/2018,30/12/2018,13/07/2018,9635129858,
2956,4720506909,08-361-0789,24-434-6502,"Larson, Hickle and Reichel",Marketing,Orange Company,0.9,Sponsor,IT Services,4,3416779789,29,174295871,Loomis,,613-977-6520,501-573-7284,159-764-7047,58,12/5/2018,20/12/2018,14/03/2018,16/12/2018,1446879097,
2957,3733775082,83-470-5615,08-755-8732,Jacobs LLC,Product Management,Orange Company,0.2,Signatory,Fashion Designing,5,3718391872,11,4534190786,Homewood,,209-587-4552,265-688-2976,972-146-0398,25969,13/12/2018,14/12/2018,14/11/2018,13/09/2018,7960419043,
2958,1388047675,43-374-4293,27-678-2030,"Cole, Blanda and Kertzmann",Training,Souk al Waha,0.6,Sponsor,IT Services,1,2840981955,8,1515792870,Straubel,,164-759-5389,506-916-3172,535-707-5727,591,21/10/2018,29/05/2018,13/02/2019,12/5/2018,9291638978,
2959,909109753,99-313-4745,28-322-8973,"Brekke, Buckridge and Metz",Support,Souk al Waha,0.3,Signatory,Fashion Designing,2,9990479135,25,4665327874,Rockefeller,,426-487-9222,918-549-6279,261-528-9271,797,23/11/2018,20/01/2019,30/08/2018,13/09/2018,5537560909,
2960,8094318198,53-603-3265,48-384-8228,Sawayn LLC,Support,Glass Inc.,0.9,Project Manager,Car Manufacturing,3,5974735129,27,568641884,West,,561-215-2129,840-735-1537,612-225-8598,6,2/10/2018,18/08/2018,24/01/2019,5/8/2018,989054640,
2961,3924688168,86-707-7271,89-154-0416,Mohr LLC,Product Management,Steak Holder,0,Sponsor,Food Delivery,4,200362488,9,6460760608,Di Loreto,,744-454-8253,351-660-8335,863-110-8700,56,27/01/2019,12/3/2018,25/10/2018,22/10/2018,4454661669,
2962,1084904241,84-892-5834,10-255-8335,Pfannerstill-Kreiger,Engineering,Glass Inc.,0.1,Sponsor,Food Provider,5,8132841743,25,3417862000,Barnett,,406-539-0631,403-538-5025,732-325-6763,1643,1/12/2018,19/04/2018,8/5/2018,3/8/2018,6057798600,
2963,6710976971,87-719-4898,27-007-1593,Cummerata and Sons,Product Management,Souk al Waha,0.1,Project Manager,Fashion Designing,1,3060057303,23,4152202637,Badeau,,813-730-3447,808-703-0678,233-539-7996,1,9/4/2018,31/08/2018,3/6/2018,7/12/2018,2621113087,
2964,284263044,27-740-2353,09-876-1769,Jakubowski-Walsh,Sales,Glass Inc.,0.3,Signatory,Car Manufacturing,2,3329859377,26,1799595706,Hoepker,,673-527-2048,149-561-5367,472-519-0493,798,24/08/2018,24/11/2018,10/1/2019,28/11/2018,2071059344,
2965,2864123517,97-348-3746,62-543-2575,Muller-Dicki,Training,Glass Inc.,0.1,Partner & Responsible Manager,Food Provider,3,6726325703,21,9407301850,Anhalt,,938-251-3799,201-651-2782,357-216-3272,2005,13/03/2018,4/5/2018,27/07/2018,31/07/2018,1481873229,
2966,6775227884,09-356-3858,62-548-2384,Dicki-Koelpin,Support,Orange Company,0.9,Signatory,Food Provider,4,54669332,15,4408478881,Burrows,,828-696-3877,387-332-7542,316-923-9256,823,15/05/2018,21/05/2018,24/05/2018,22/07/2018,8576864681,
2967,7352983945,05-127-8220,28-653-3194,"Medhurst, Langosh and Corwin",Accounting,Souk al Waha,0.2,Sponsor,Food Delivery,5,5474953925,8,426386795,Stuart,,148-476-3692,353-974-7510,299-462-0861,59656,17/10/2018,11/7/2018,15/06/2018,17/01/2019,803870876,
2968,8641988092,32-958-2831,29-485-8808,"Pacocha, Crist and Lind",Services,Steak Holder,0.3,Project Manager,Car Manufacturing,1,8167806758,18,2916012281,Sunnyside,,685-829-1670,249-217-6662,829-587-3657,9279,7/8/2018,21/12/2018,29/08/2018,20/02/2018,8181584457,
2969,801776090,66-159-0028,41-230-6264,Murray Group,Product Management,Souk al Waha,0.4,Project Manager,Food Provider,2,8147016522,12,2060396670,Haas,,827-244-7737,432-188-4376,997-849-0283,7,10/8/2018,30/06/2018,25/08/2018,23/02/2018,7929240916,
2970,9490798452,24-763-7844,09-391-4902,"Parisian, Hoppe and Rohan",Engineering,Glass Inc.,0,Sponsor,IT Services,3,3495408673,13,8931165129,Donald,,387-992-3727,368-914-7611,211-290-0725,5148,4/6/2018,26/03/2018,14/11/2018,19/01/2019,8363751154,
2971,8403805233,76-010-5748,01-151-1270,Sauer-Hayes,Product Management,Souk al Waha,0.3,Partner & Responsible Manager,Food Provider,4,8674237096,5,4747036121,Drewry,,285-447-7834,802-834-8123,133-967-5229,403,5/2/2019,21/06/2018,3/2/2019,5/3/2018,7460050768,
2972,1199687197,13-186-1464,87-054-9460,Crooks and Sons,Support,Steak Holder,0,Project Manager,Fashion Designing,5,5905098417,18,9699353163,Arrowood,,555-815-8192,963-159-5766,929-188-9086,1225,29/09/2018,24/02/2018,19/01/2019,11/9/2018,718284720,
2973,6014509771,29-689-1491,35-908-7927,Keeling Group,Training,Souk al Waha,0.4,Project Manager,Car Manufacturing,1,3343876216,5,4403149081,Cottonwood,,353-600-5483,546-933-4927,931-276-3423,2811,12/8/2018,19/09/2018,28/01/2019,11/7/2018,1227058225,
2974,9590591760,15-225-6884,81-873-6729,Barrows LLC,Accounting,Souk al Waha,0.8,Sponsor,IT Services,2,9506242372,1,8043444137,Eastwood,,991-196-1932,350-572-0706,841-372-1000,3073,3/8/2018,24/05/2018,10/5/2018,8/3/2018,5722296910,
